screen_name,created_at,text
skaigr,2021-06-28,Πελώνη: Πιο επιθετική η μετάλλαξη δέλτα- Επιτακτική ανάγκη ο εμβολιασμός  #Πολιτική #Πελώνη #εμβολιασμοί #κορωνοϊός #μεταλλάξεις https://t.co/47Zcv85IVw
skaigr,2021-06-28,Μενδώνη: «Ο εμβολιασμός μόνη δυνατότητα για την επιστροφή στην κανονικότητα»  #Ελλάδα #Μενδώνη #κάρτα #νέοι #εμβολιασμός https://t.co/ymS95MPsa8
skaigr,2021-06-28,Κύπρος-κορωνοϊός: Ξεκινά ο εμβολιασμός σε άτομα ηλικίας 16-17 ετών  #Υγεία #Κύπρος #κορωνοϊός #εμβολιασμοί #έφηβοι https://t.co/pNiXae6CsS
skaigr,2021-06-28,Μητσοτάκης: Προπληρωμένη κάρτα 150 ευρώ για νέους 18-25 με την πρώτη δόση εμβολίου  #Ελλάδα #κάρτα #Μητσοτάκης #νέοι #εμβόλια https://t.co/DQ9ZCajHhL
skaigr,2021-06-28,Live οι ανακοινώσεις για τα προνόμια εμβολιασμένων από τον πρωθυπουργό  #Ελλάδα #προνόμια #εμβολιασμένοι #συναυλία #ψηφιακό_πιστοποιητικό_εμβολιασμού https://t.co/DlO1B3ErmM
skaigr,2021-06-28,Αμερική: Μυοκαρδίτιδες μετά από εμβόλια BioNTech και Moderna- Ποια τα ύποπτα συμπτώματα  #Υγεία #εμβόλια #Pfizer/BioNTech #μυοκαρδίτιδα https://t.co/n2M5CSDCJf
skaigr,2021-06-28,Πέτσας σε ΣΚΑΪ: Από νέο κύμα πανδημίας δεν κινδυνεύει η οικονομία αλλά οι ανεμβολίαστοι  #Ελλάδα #Πέτσας #εμβολιασμοί #προνόμια https://t.co/vH59qxvK7x
skaigr,2021-06-28,Προνόμια εμβολιασμένων: Στις 12 οι ανακοινώσεις από τον πρωθυπουργό  #Ελλάδα #Μητσοτάκης #προνόμια #εμβολιασμοί https://t.co/ivKIiUblwZ
skaigr,2021-06-28,Γεωργιάδης σε ΣΚΑΪ: Δεν έχουμε δικαίωμα να περιορίζουμε τους πλήρως εμβολιασμένους  #Ελλάδα #προνόμια #Γεωργιάδης #υποχρεωτικός_εμβολιασμός https://t.co/ukYFS4EAhg
skaigr,2021-06-28,"Παγώνη στον ΣΚΑΪ: Πριν πάτε διακοπές εμβολιαστείτε, τα πράγματα ζορίζουν  #Υγεία #παγώνη #κορωνοϊός #εμβολιασμός #μετάλλαξη_Δέλτα https://t.co/Gk3FASk57u"
skaigr,2021-06-28,"Καταργήθηκε η απαγόρευση κυκλοφορίας - Η άρση μέτρων, τα προνόμια για εμβολιασμένους   #Ελλάδα #απαγόρευση_κυκλοφορίας #προνόμια #εμβολιασμοί https://t.co/ymFJShUinv"
skaigr,2021-06-27,Άρση περιορισμών: Τα νέα βήματα ελευθερίας από Δευτέρα- Ανακοινώσεις για «προνόμια» εμβολιασμένων  #Ελλάδα https://t.co/OGcfUQTGeb
skaigr,2021-06-27,Αλλαγή για τους Ρώσους ταξιδιώτες που φτάνουν Ελλάδα- Υποχρεωτικό αρνητικό τεστ και για εμβολιασμένους  #Ταξίδι #Ρωσία #Ελλάδα #ταξιδιώτες #ταξίδια #τεστ #εμβολιασμένοι https://t.co/qvjeEHF1B0
skaigr,2021-06-27,Κορωνοϊός: Παγκόσμιος συναγερμός για τη μετάλλαξη Δέλτα- Τι συστήνει ο ΠΟΥ στους εμβολιασμένους  https://t.co/ueY8CurQZj
skaigr,2021-06-27,"Τσακρής σε ΣΚΑΪ 100,3: Ανησυχία για τη μετάλλαξη Δέλτα – «Ναι» σε προνόμια εμβολιασμένων  #Ελλάδα #Τσακρής #μετάλλαξη_Δέλτα #εμβολιασμοί https://t.co/WS1aCixEf0"
skaigr,2021-06-27,Πιθανή η δεύτερη δόση και για το μονοδοσικό εμβόλιο της Johnson &amp; Johnson  #Υγεία #Johnson_&amp;_Johnson #Εμβόλιο #κορωνοϊός https://t.co/9mmmifALN8
skaigr,2021-06-27,Μάσκα και για τους εμβολιασμένους συστήνει ο ΠΟΥ λόγω της μετάλλαξης Δέλτα  #Υγεία #μάσκα #εμβολιασμοί #μετάλλαξη_Δέλτα https://t.co/d3t8jd9GTJ
skaigr,2021-06-27,Προνόμια εμβολιασμένων: Το σχέδιο για covid free χώρους – Με QR code ο έλεγχος  #Ελλάδα #προνόμια #εμβολιασμοί #πρωτόκολλο https://t.co/fZhSAfkiP2
skaigr,2021-06-27,Καπραβέλος στον ΣΚΑΪ: Πιθανό τέταρτο κύμα - Τι είπε για τη μετάλλαξη Δέλτα  #Ελλάδα #καπραβέλος #κορωνοϊός #μετάλλαξη_Δέλτα #εμβολιασμός https://t.co/8s1ggpR4no
skaigr,2021-06-26,Μόσιαλος-ΣΚΑΙ: 4ο κύμα κορωνοιού από μετάλλαξη Δέλτα στην Ελλάδα -Θα πλήξει ανεμβολίαστους   #Υγεία #κορωνοϊός #Ηλίας_Μόσιαλος #μετάλλαξη_Δέλτα #κρούσματα #εμβολιασμοί https://t.co/341bmTEIxw
skaigr,2021-06-26,Προνόμια: Πώς θα αρθούν οι περιορισμοί για τους εμβολιασμένους -Το διττό μοντέλο  #Ελλάδα #εμβολιασμοί #άρση_περιορισμών #κορωνοϊός #πανδημία #προνόμια https://t.co/cLYsqHJdNI
skaigr,2021-06-26,Γερμανία: Επιταχύνεται η διαδικασία εμβολιασμού λόγω παραλλαγμένου στελέχους Δέλτα  #Κόσμος #γερμανία #κορωνοϊός #εμβολιασμοί #μετάλλαξη_Δέλτα https://t.co/GAhu5pAtkI
skaigr,2021-06-26,«Προνόμια» στους εμβολιασμένους: Τι εξετάζεται - Τι λένε οι ειδικοί για μετάλλαξη «Δέλτα»  #Υγεία #Ελλάδα #κορωνοϊός #πανδημία #προνόμια #εμβολιασμός #μετάλλαξη https://t.co/9a5LZKtq2L
skaigr,2021-06-26,Ελλείψεις εμβολίων στη Ρωσία - Διαβεβαιώσεις Κρεμλίνου για άμεση επίλυση  #Κόσμος #Ρωσία #εμβολιασμός #ελλείψεις https://t.co/icY40DyAqv
skaigr,2021-06-26,Κικίλιας: Ο εμβολιασμός είναι ο μόνος τρόπος για να πάρουμε πίσω τις ζωές μας  #Ελλάδα #Κικίλιας #εμβολιασμοί #κορωνοϊός https://t.co/RYGcacrR6r
skaigr,2021-06-26,"Σκέρτσος σε ΣΚΑΪ 100,3: Ξανά κανονική η ζωή των εμβολιασμένων – Τι είπε για τα προνόμια  #Ελλάδα #Σκέρτσος #προνόμια #εμβολιασμοί https://t.co/hYA3a2qpb3"
skaigr,2021-06-26,Υβριδικά mRNA εμβόλια: Τι είναι και πως θα αποτρέψουν μελλοντική πανδημία κορωνοϊού  #Υγεία #εμβόλια #mRNA #κορωνοϊός https://t.co/M2mtkK8wwT
skaigr,2021-06-26,Τζανάκης σε ΣΚΑΪ για μετάλλαξη Δέλτα: Δεν χρειάζεται πανικός – Προστατεύουν τα εμβόλια  #Ελλάδα #μετάλλαξη_Δέλτα #εμβόλια #Τζανάκης #Λουκίδης https://t.co/pfwogRf9me
skaigr,2021-06-26,Γεωργιάδης για προνόμια εμβολιασμένων: Ανακοινώσεις τη Δευτέρα για τους κλειστούς χώρους  #Ελλάδα #προνόμια #εμβολιασμένοι #Άδωνις_Γεωργιάδης https://t.co/EbkF9EW4jU
skaigr,2021-06-26,Η απειλή της μετάλλαξης Δέλτα – Ποια προνόμια έρχονται για τους εμβολιασμένους  #Ελλάδα #προνόμια #εμβολιασμός #μετάλλαξη_Δέλτα https://t.co/U8Uy5xfesv
skaigr,2021-06-25,Κορωνοϊός: Τα προνόμια που εξετάζει η Κυβέρνηση για εμβολιασμένους  #Ελλάδα #κορωνοϊός #εμβολιασμένοι #προνόμια #Κυριάκος_Μητσοτάκης #Βρυξέλλες https://t.co/NSd7Imbob4
skaigr,2021-06-25,Κικίλιας: Κίνδυνος από τη μετάλλαξη Δέλτα - Ασφαλείς οι εμβολιασμένοι  #Υγεία #μετάλλαξη_Δέλτα #Κικίλιας #εμβολιασμοί https://t.co/tvPWKNEY7M
skaigr,2021-06-25,Ιράν: Ο αγιατολάχ Χαμενεΐ εμβολιάστηκε με το ιρανικό εμβόλιο Barekat  #Κόσμος #Αγιατολάχ_Χαμενεΐ #Εμβόλιο #Ιράν https://t.co/2VqnrUUUlg
skaigr,2021-06-25,Ντράγκι για πανδημία: Χρειάζεται ακόμα προσοχή - Αμφιβολίες για ρωσικό και κινεζικό εμβόλιο  #Πολιτική #Μάριο_Ντράγκι #Σύνοδος_Κορυφής #πανδημία https://t.co/751qTSVzH7
skaigr,2021-06-25,Κορωνοϊός: Η συμμαχία GAVI εγκρίνει ποσό 775 εκατ. δολαρίων για διανομή εμβολίων  #Υγεία #κορωνοϊός #GAVI #εμβόλια https://t.co/4nH8TVIEp6
skaigr,2021-06-25,Ρόμπερτ Κοχ: Ο πλήρης εμβολιασμός προστατεύει από την παραλλαγή Δέλτα  #Κόσμος #κορωνοϊός #παραλλαγή_Δέλτα #εμβολιασμοί https://t.co/dDPP4FToXs
skaigr,2021-06-25,Δήμος Αθηνών: Μεταφέρει για εμβόλια με δικά του μέσα άτομα που δεν μπορούν να μετακινηθούν  #Ελλάδα #Δήμος_Αθηναίων https://t.co/7eRNT9ke7V
skaigr,2021-06-25,Ρωσία: Κυκλοφόρησε το μονοδοσικό εμβόλιο Sputnik Light  #Υγεία #Ρωσία #Εμβόλιο #SputnikV #κορωνοϊός https://t.co/hDPZE4HZn5
skaigr,2021-06-25,"Πελώνη στον ΣΚΑΪ 100,3: Λύση είναι οι εμβολιασμοί, όχι νέοι περιορισμοί στις μετακινήσεις  #Πολιτική #εμβολιασμοί #Τουρκία #Σύνοδος_Κορυφής #COVID https://t.co/APSXwBx6J0"
skaigr,2021-06-25,Βασιλακόπουλος σε ΣΚΑΪ:  «Ασπίδα» μας στην ινδική μετάλλαξη το εμβόλιο  #Υγεία #κορωνοϊός #βασιλακόπουλος #μεταλλάξεις #Ινδική_μετάλλαξη https://t.co/HtgUk1fScf
skaigr,2021-06-25,Κορωνοϊός- Εμβόλια: Πώς μπορεί να διαπιστώνεται η αποτελεσματικότητα σε μεταλλάξεις  #Υγεία #κορωνοϊός #εμβόλια #μεταλλάξεις https://t.co/rbRvJc8lXZ
skaigr,2021-06-24,ΕΕ: Ανάγκη να συνεχιστούν οι εμβολιασμοί- Σε επιφυλακή για νέες μεταλλάξεις  #Υγεία #Σύνοδος_Κορυφής #κορωνοϊός #πανδημία #εμβολιασμοί #μεταλλάξεις https://t.co/ZOcIMxZKZd
skaigr,2021-06-24,Σουρβίνος σε ΣΚΑΪ για μετάλλαξη Δέλτα: Νέοι και ανεμβολίαστοι τα νέα κρούσματα  #Ελλάδα #μετάλλαξη_Δέλτα #Σουρβίνος #κορωνοϊός #εμβόλια https://t.co/vSDwnMtpqE
skaigr,2021-06-24,Κορωνοϊός: Ετήσιο εμβολιασμό για τις πιο ευάλωτες ομάδες προβλέπει ο ΠΟΥ  #Υγεία #κορωνοϊός #πανδημία #κρούσματα #εμβολιασμοί #Παγκόσμιος_Οργανισμός_Υγείας https://t.co/2gm0Yxk5g0
skaigr,2021-06-24,Λάιεν: Έως 27 Ιουνίου θα έχει εμβολιαστεί το 60% των ενηλίκων στην ΕΕ  #Κόσμος #φον_ντερ_Λάιεν #εμβολιασμοί #κορωνοϊός https://t.co/uocFqyJUZJ
skaigr,2021-06-24,Βρετανία: Πιθανή η κατάργηση της καραντίνας για τους πλήρως εμβολιασμένους  #Ταξίδι #Μπόρις_Τζόνσον #Βρετανία #καραντίνα https://t.co/QRGncR366Z
skaigr,2021-06-24,Μητσοτάκης- Σύνοδος Κορυφής: Αναμένουμε άμεση ενεργοποίηση του ευρωπαϊκού πιστοποιητικού  #Πολιτική #Κυριάκος_Μητσοτάκης #πιστοποιητικό_εμβολιασμού #Σύνοδος_Κορυφής #ΕΕ https://t.co/KYUyPErM0M
skaigr,2021-06-24,"Κοντογεώργης στον ΣΚΑΪ 100,3: Πρώτες μέρες Ιουλίου οι εμβολιασμοί σε κατάκοιτους πολίτες  #Ελλάδα #εμβολιασμός #Εμβόλιο #Johnson_&amp;_Johnson https://t.co/aRyXfplTSH"
skaigr,2021-06-24,"@skaigr ΑΠΟΨΗ του @ChiotisVasilis Mε το 30% να αδιαφορεί ακόμα και σήμερα να προγραμματίσει ραντεβού για εμβολιασμό, είναι βέβαιο πως το τέταρτο κύμα του κορονοϊού θα το ζήσουμε και στην Ελλάδα, με ότι αυτό συνεπάγεται...https://t.co/Q6JvxTC4yv"
skaigr,2021-06-24,Το Μεξικό δωρίζει 400.000 δόσεις AstraZeneca σε 3 χώρες της Κεντρικής Αμερικής  #Υγεία #AstraZeneca #εμβολιασμός https://t.co/9w1x8OtunZ
skaigr,2021-06-23,"ΗΠΑ: 153 εργαζόμενοι νοσοκομείου απολύθηκαν ή παραιτήθηκαν, επειδή δεν εμβολιάστηκαν  #Κόσμος #Τέξας #νοσοκομείο #εμβόλια https://t.co/kJ1GnlzHU2"
skaigr,2021-06-23,Μαγιορκίνης-κορωνοϊός: Η επίσπευση του εμβολιασμού θα μας προστατέψει από την μετάλλαξη Δ'  #Υγεία #κορωνοϊός #μαγιορκίνης #Ελλάδα #κρούσματα https://t.co/7Cttjz2e2f
skaigr,2021-06-23,Κορωνοϊός-Παπαευαγγέλου: Καταργούνται τα self test για τους εμβολιασμένους   #Υγεία #κορωνοϊός #Παπαευαγγέλου #κρούσματα https://t.co/cQzw6ylv4E
skaigr,2021-06-23,Επίσημο: Τέλος οι μάσκες για όλους από Πέμπτη  σε εξωτερικούς χώρου- Όλες οι ανακοινώσεις της επιτροπής  #Ελλάδα #μάσκα #απαγόρευση_κυκλοφορίας #SELF_TEST #εμβολιασμένοι https://t.co/mWDSJrIY0t
skaigr,2021-06-23,Μητσοτάκης σε ΣΕΤΕ: Το καλύτερο όπλο για το καλοκαίρι ο εμβολιασμός  #Πολιτική #Κυριάκος_Μητσοτάκης #πανδημία #ΣΕΤΕ #ομιλία https://t.co/gj69b0Q9Z1
skaigr,2021-06-23,Morgan Stanley: Απαγορεύει την είσοδο σε ανεμβολίαστους από 12 Ιουλίου - Ο νέος κανονισμός  #Κόσμος #Morgan_Stanley #εμβολιασμένοι #απαγόρευση https://t.co/Tlonkel23G
skaigr,2021-06-23,Μετά τη μετάλλαξη Δέλτα φτάνει στη Βρετανία η «Δέλτα συν» - Πώς επηρεάζει τα εμβόλια  #Υγεία #μετάλλαξη_Δέλτα #Βρετανία #κορωνοϊός https://t.co/OP1T1Dyz2c
skaigr,2021-06-23,"Τσακρής σε ΣΚΑΪ 100,3: Να προχωρήσουν δυναμικά οι εμβολιασμοί -Τι είπε για μάσκες  #Υγεία #Τσακρής #κορωνοϊός #εμβολιασμοί https://t.co/qvn1AH19TY"
skaigr,2021-06-23,Γώγος: Έξαρση COVID στο Ισραήλ με 60% εμβολιαστική κάλυψη - Θωμαΐδης: Ιούλιο διψήφια τα κρούσματα  #Υγεία #Covid-19 #κορωνοϊός #Γώγος #κρούσματα https://t.co/xURxXBUf8p
skaigr,2021-06-23,Βασιλακόπουλος σε ΣΚΑΪ: Σίγουρα θα έρθει τέταρτο κύμα και θα αφορά τους ανεμβολίαστους  #Υγεία #βασιλακόπουλος #εμβολιασμένοι #κορωνοϊός https://t.co/sBA62tagCK
